Best hyperparameters for feature interactions model:
n_estimators: 200
random_state: 43
validation_score: 0.8343

All results:
    n_estimators  random_state  val_score      time
0             50            42   0.825589  1.903562
1             50            43   0.828283  1.929552
2             50           456   0.830303  1.206648
3             50           789   0.824916  1.246605
4            100            42   0.827609  2.536290
5            100            43   0.832323  2.287163
6            100           456   0.832660  2.187565
7            100           789   0.830640  2.112815
8            200            42   0.831987  4.915085
9            200            43   0.834343  4.333750
10           200           456   0.831650  4.211690
11           200           789   0.831987  4.503681
12           300            42   0.829966  6.517244
13           300            43   0.833670  6.491622
14           300           456   0.831650  6.452428
15           300           789   0.833670  6.714576
